SKU,Nombre_Producto,Categoría,Precio_Unitario,Costo_Unitario,Stock,Marca
P00249,Audífonos Bluetooth,Tecnología,123300,75500,382,JBL
P00250,Audífonos In-Ear,Tecnología,188700,136500,306,Sony
P00251,Mouse Inalámbrico,Tecnología,310800,215800,158,Logitech
P00252,Teclado Inalámbrico,Tecnología,141900,80900,352,Logitech
P00253,"Monitor 24""",Tecnología,160700,116300,140,AOC
P00254,Consola de Videojuegos,Tecnología,286500,228600,244,Nintendo
P00255,"Tablet 10""",Tecnología,307200,223400,253,Samsung
P00256,Parlante Bluetooth,Tecnología,238500,160700,360,Bose
P00257,Cargador USB-C,Tecnología,354400,252900,30,Belkin
P00258,Memoria USB 64GB,Tecnología,18300,11300,78,Sandisk
P00259,Disco SSD 500GB,Tecnología,145400,97200,434,Kingston
P00260,Cámara Deportiva,Tecnología,249600,142600,358,GoPro
P00261,Celular Smartphone,Tecnología,266900,169300,472,Samsung
P00262,Celular Smartphone,Tecnología,409700,304200,438,Xiaomi
P00263,Celular Smartphone,Tecnología,371000,295400,372,Motorola
P00264,Laptop,Tecnología,131600,78800,153,HP
P00265,Laptop,Tecnología,29700,23100,11,Dell
P00266,Laptop,Tecnología,326500,210000,200,Lenovo
P00267,"Televisor LED 50""",Tecnología,393600,230700,216,LG
P00268,"Televisor OLED 55""",Tecnología,248400,158100,178,Sony
P00269,Audífonos Bluetooth,Tecnología,164100,114900,200,JBL
P00270,Audífonos In-Ear,Tecnología,205400,135200,270,Sony
P00271,Mouse Inalámbrico,Tecnología,313300,198900,144,Logitech
P00272,Teclado Inalámbrico,Tecnología,78800,51900,358,Logitech
P00273,"Monitor 24""",Tecnología,257500,180100,201,AOC
P00274,Consola de Videojuegos,Tecnología,52700,34900,67,Nintendo
P00275,"Tablet 10""",Tecnología,212500,149200,385,Samsung
P00276,Parlante Bluetooth,Tecnología,212800,125800,443,Bose
P00277,Cargador USB-C,Tecnología,202600,127300,435,Belkin
P00278,Memoria USB 64GB,Tecnología,288900,212700,234,Sandisk
P00279,Disco SSD 500GB,Tecnología,54600,34000,295,Kingston
P00280,Cámara Deportiva,Tecnología,138600,103900,226,GoPro
P00281,Celular Smartphone,Tecnología,268800,151700,149,Samsung
P00282,Celular Smartphone,Tecnología,32000,24800,107,Xiaomi
P00283,Celular Smartphone,Tecnología,116200,68800,411,Motorola
P00284,Laptop,Tecnología,167100,107200,376,HP
P00285,Laptop,Tecnología,351000,231000,185,Dell
P00286,Laptop,Tecnología,149100,104800,52,Lenovo
P00287,"Televisor LED 50""",Tecnología,141300,105500,192,LG
P00288,"Televisor OLED 55""",Tecnología,367600,270600,347,Sony
P00289,Audífonos Bluetooth,Tecnología,43600,30700,474,JBL
P00290,Audífonos In-Ear,Tecnología,187900,121700,49,Sony
P00291,Mouse Inalámbrico,Tecnología,141200,79000,498,Logitech
P00292,Teclado Inalámbrico,Tecnología,138300,78300,91,Logitech
P00293,"Monitor 24""",Tecnología,168100,97600,60,AOC
P00294,Consola de Videojuegos,Tecnología,34100,18900,332,Nintendo
P00295,"Tablet 10""",Tecnología,28700,21500,303,Samsung
P00296,Parlante Bluetooth,Tecnología,29600,19500,496,Bose
P00297,Cargador USB-C,Tecnología,54800,34400,321,Belkin
P00298,Memoria USB 64GB,Tecnología,274300,179400,125,Sandisk
P00299,Disco SSD 500GB,Tecnología,231900,145300,60,Kingston
P00300,Cámara Deportiva,Tecnología,79300,57600,203,GoPro
